# Program:featureCounts v1.4.6; Command:"featureCounts" "-a" "Probes.FC.annotation.HG19.txt" "-o" "RNA-seq_pluri.txt" "-F" "SAF" "-O" "/mnt/gluster/home/ireneg/ipsc_paper/mapped_data/H18489_LCL/accepted_hits.bam" "/mnt/gluster/home/ireneg/ipsc_paper/mapped_data/H28834_day_20/accepted_hits.bam" "/mnt/gluster/home/ireneg/ipsc_paper/mapped_data/H20961_FB/accepted_hits.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18489/H18489.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18507/H18507.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18508/H18508.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18516/H18516.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18855/H18855.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18856/H18856.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18858/H18858.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19098/H19098.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19101/H19101.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19239/H19239.bam" "/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19257/H19257.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/gluster/home/ireneg/ipsc_paper/mapped_data/H18489_LCL/accepted_hits.bam	/mnt/gluster/home/ireneg/ipsc_paper/mapped_data/H28834_day_20/accepted_hits.bam	/mnt/gluster/home/ireneg/ipsc_paper/mapped_data/H20961_FB/accepted_hits.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18489/H18489.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18507/H18507.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18508/H18508.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18516/H18516.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18855/H18855.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18856/H18856.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H18858/H18858.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19098/H19098.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19101/H19101.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19239/H19239.bam	/mnt/lustre/home/nbanovich/iPSCs/Yoruba_project/RNA-seq/Data/mapped_data/H19257/H19257.bam
ILMN_1684523	chr13	77060933	77060983	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_3269225	chr12	118478189	118478239	-	51	0	0	0	2	0	0	1	2	0	2	0	0	2	3
ILMN_2309245	chr2	127805917	127805967	+	51	436	28	55	55	53	45	46	67	54	23	26	24	54	53
ILMN_1809344	chr11	13410057	13410107	+	51	109	7	59	37	22	35	38	41	38	21	15	31	47	35
ILMN_1762281	chr9	34613805	34613855	+	51	323	57	140	17	24	29	27	39	17	21	16	20	21	29
ILMN_1734742	chr17	79825722	79825772	+	51	765	89	291	126	184	119	142	113	90	73	30	86	95	178
ILMN_2162234	chr4	170314643	170314693	+	51	15	12	16	12	15	1	9	5	2	5	6	9	6	17
ILMN_1655684	chr19	39405988	39406038	+	51	43	14	19	38	92	40	51	55	39	27	16	35	46	56
ILMN_3300190	chr3	121213632	121213682	-	51	0	0	0	1	5	0	0	1	0	0	0	0	0	0
ILMN_3241036	chr7	75573152	75573202	-	51	0	0	0	0	0	0	0	0	0	0	1	0	1	0
ILMN_1735832	chr3	148705283	148705333	+	51	0	0	0	1	4	13	14	10	14	5	16	1	7	8
ILMN_1754567	chr17	17902967	17903017	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1686807	chr13	108520943	108520993	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1671123	chr4	124851460	124851510	-	51	0	2	0	0	0	0	0	0	0	0	0	0	1	0
ILMN_1766125	chr19	5692097	5692147	+	51	395	67	101	170	235	179	217	182	143	122	82	115	147	319
ILMN_1654249	chr2	149661040	149661090	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1685369	chr5	159830404	159830454	+	51	258	33	67	30	39	28	49	43	41	32	13	28	55	71
ILMN_3310815	chr1	41222963	41223013	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1653709	chr14	58875737	58875787	+	51	352	59	79	118	110	101	103	109	90	98	55	66	149	118
ILMN_2126957	chr16	14989498	14989548	-	51	86	27	147	25	38	40	60	66	40	35	12	37	72	88
ILMN_1678730	chr16	14980692	14980742	-	51	73	10	221	24	15	26	36	31	45	23	15	22	54	53
ILMN_1842887	chr1	187687575	187687625	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1801608	chr1	154841715	154841765	+	51	76	0	0	1	2	4	5	0	5	2	1	1	3	0
ILMN_1744897	chr1	154680210	154680260	+	51	68	0	0	2	0	0	0	2	2	0	0	0	6	1
ILMN_1828584	chr2	219081239	219081289	+	51	11	1	2	6	2	7	5	8	3	0	1	2	3	3
ILMN_1688702	chr5	108670469	108670519	+	51	118	15	36	32	42	28	25	30	38	34	12	28	45	23
ILMN_1670130	chr19	972538	972588	-	51	295	5	15	40	32	127	81	124	127	66	54	25	110	217
ILMN_1765971	chr2	223574485	223574535	-	51	0	0	0	0	0	0	2	2	0	0	0	1	2	0
ILMN_1659166	chr12	85277661	85277711	+	51	0	0	1	30	8	8	38	30	38	14	10	21	44	23
ILMN_1810533	chr12	85253700	85253750	+	51	0	0	0	5	0	0	1	2	2	0	2	1	4	1
ILMN_1713086	chr11	8704749	8704799	-	51	15911	505	4013	1456	1603	1248	1261	2882	2001	987	977	904	1703	2172
ILMN_2205695	chr4	20729619	20729669	-	51	4	6	17	6	3	5	9	8	6	6	3	3	7	9
ILMN_1739335	chr2	27293541	27293591	+	51	4438	351	1373	371	453	482	414	663	438	239	179	269	564	584
ILMN_1803834	chr16	28730361	28730411	-	51	5	0	0	0	0	0	1	0	0	0	0	1	1	3
ILMN_2396639	chr5	176918082	176918132	+	51	59	71	178	35	63	51	76	53	39	60	22	35	68	92
ILMN_1814985	chr5	176918010	176918060	+	51	82	93	205	40	63	52	73	58	44	58	26	41	56	113
ILMN_1911503	chr20	33803322	33803372	+	51	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ILMN_1680462	chr11	65774409	65774459	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1697733	chr11	65780785	65780835	-	51	0	0	6	0	3	5	3	0	1	0	3	0	1	0
ILMN_1658713	chr13	43145795	43145845	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_2055638	chr21	31768861	31768911	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1662791	chr10	33165445	33165495	-	51	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ILMN_2275455	chr13	26795923	26795973	+	51	45	0	5	1	0	1	2	3	2	2	2	1	2	2
ILMN_1814002	chr6	35441448	35441498	+	51	0	37	15	8	17	10	7	16	4	8	3	12	7	17
ILMN_1702698	chr5	157183676	157183726	-	51	9	0	0	2	1	5	5	7	7	3	2	2	7	4
ILMN_1708151	chrX	153706351	153706401	+	51	119	41	41	100	85	261	83	130	77	51	54	65	106	130
ILMN_1765085	chr20	5918794	5918844	+	51	98	8	12	29	51	22	23	38	23	35	11	15	37	73
ILMN_3199507	chr16	74378841	74378891	+	51	14	0	3	2	2	9	10	10	7	6	5	2	12	16
ILMN_1793463	chr1	246685366	246685416	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_2321064	chr19	49464094	49464144	-	51	1230	64	475	560	657	857	637	984	574	425	236	371	379	849
ILMN_1663616	chr17	40133873	40133923	+	51	423	45	168	128	137	77	154	129	103	65	37	86	175	210
ILMN_3237132	chr2	73912380	73912430	-	51	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_3237209	chr14	19719711	19719761	+	51	0	0	0	16	40	9	14	13	11	14	9	10	22	35
ILMN_1752791	chr5	50091688	50091738	-	51	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_2289849	chr1	161488935	161488985	-	51	2	0	0	2	0	2	0	2	1	0	0	1	1	0
ILMN_1665246	chr21	43531492	43531542	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1813027	chr5	180662242	180662292	-	51	174	5	28	18	27	14	17	35	23	25	16	11	20	39
ILMN_1704019	chr12	123464227	123464277	-	51	39	3	13	15	16	10	16	15	20	4	3	6	20	16
ILMN_1673969	chr13	25155799	25155849	-	51	0	0	2	1	2	0	1	3	0	1	0	0	1	1
ILMN_2183424	chr13	25171625	25171675	-	51	0	1	0	0	4	0	0	3	0	4	0	0	0	6
ILMN_3241333	chr2	91671023	91671073	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_2400947	chr10	11378038	11378088	-	51	48	4	0	1	0	1	4	2	2	1	0	4	0	4
ILMN_1788605	chr13	52882393	52882443	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1681755	chr13	52793712	52793762	+	51	0	0	0	0	2	0	0	1	0	0	1	1	2	0
ILMN_1708110	chr4	159176206	159176256	-	51	1	5	1	8	6	6	5	8	4	2	2	3	5	6
ILMN_1815649	chr5	93076283	93076333	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_3245759	chr2	29136565	29136615	-	51	0	0	0	0	0	1	0	0	0	0	0	0	2	0
ILMN_1736555	chr15	56992149	56992199	+	51	3	4	5	9	10	6	12	11	7	3	4	8	12	13
ILMN_1664176	chr14	92336445	92336495	+	51	3	1	536	9	6	5	4	4	6	3	1	2	2	2
ILMN_2223941	chr14	92336097	92336147	+	51	0	2	789	6	11	2	10	4	4	3	0	4	2	1
ILMN_2399503	chr16	4932216	4932266	-	51	45	12	13	22	26	12	22	20	13	18	7	20	23	25
ILMN_2290089	chr16	4898159	4898209	-	51	30	0	19	3	1	15	8	13	14	6	5	3	8	14
ILMN_1762294	chr1	150531160	150531210	-	51	0	1	1	1	1	0	2	1	0	0	0	0	0	0
ILMN_1687035	chr1	150531058	150531108	-	51	0	6	31	1	0	7	7	6	0	0	2	3	3	5
ILMN_1895935	chr10	103882354	103882404	+	51	0	0	0	1	1	1	0	0	1	0	1	0	1	0
ILMN_2174296	chr7	102957360	102957410	+	51	155	9	40	97	107	56	84	112	83	51	59	72	139	183
ILMN_1697634	chr16	66803956	66804006	+	51	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ILMN_3266517	chr14	62547813	62547863	+	51	0	0	0	0	0	0	0	1	0	0	0	0	3	1
ILMN_1758315	chr3	142984335	142984385	+	51	5	1	59	0	1	0	1	0	2	0	0	1	1	0
ILMN_1880310	chr12	48691032	48691082	+	51	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ILMN_3271849	chr12	126947311	126947361	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1661643	chrX	97644514	97644564	-	51	0	0	0	0	0	0	0	0	1	0	1	1	0	0
ILMN_1663988	chr1	16817242	16817292	+	51	6	0	4	3	2	2	3	6	4	0	1	1	4	5
ILMN_2166696	chr11	101762194	101762244	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1681234	chr1	151675155	151675205	+	51	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ILMN_1660985	chr8	57287359	57287409	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1870085	chr6	132420259	132420309	-	51	0	1	0	0	1	4	2	11	7	2	4	1	1	0
ILMN_1654759	chr4	184240632	184240682	+	51	1	0	1	0	0	0	2	1	0	3	0	3	2	0
ILMN_1710329	chr15	48432801	48432851	+	51	21	2	1	16	14	3	13	15	19	15	17	12	22	26
ILMN_1813671	chr22	19163462	19163512	+	51	342	29	140	188	263	219	282	334	217	110	88	118	314	226
ILMN_1700633	chr14	23080979	23081029	-	51	117	34	67	45	90	75	77	49	48	40	23	46	68	83
ILMN_1660869	chr7	148334291	148334341	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1752229	chr19	39981086	39981136	-	51	11	2	5	12	7	10	24	22	13	8	2	6	11	15
ILMN_2332691	chr15	42704121	42704171	-	51	12	26	5	1	1	1	0	1	1	1	0	0	0	3
ILMN_1734794	chrX	49955705	49955755	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_2253207	chrX	49964917	49964967	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1806304	chr8	23290558	23290608	+	51	59	5	32	15	11	24	30	34	21	17	20	16	48	23
ILMN_1682864	chr16	1826790	1826840	+	51	63	42	20	13	28	15	23	30	12	18	7	5	14	58
ILMN_1752622	chr1	214209535	214209585	-	51	1	0	0	0	0	1	0	0	3	4	2	0	1	0
ILMN_1680856	chrX	149682096	149682146	-	51	0	1	49	0	0	0	0	2	2	1	0	0	0	0
ILMN_1691884	chr5	172741844	172741894	+	51	16	23	247	25	34	39	43	26	28	43	7	31	62	23
ILMN_1662470	chr10	71393142	71393192	-	51	0	28	0	47	80	48	57	77	64	39	20	29	56	44
ILMN_1726225	chr3	167164236	167164286	+	51	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ILMN_3238694	chr8	23744200	23744250	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1882485	chr15	39402696	39402746	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1746378	chr17	40341409	40341459	+	51	85	3	31	9	20	12	10	20	12	5	4	8	11	21
ILMN_1658074	chrX	73524558	73524608	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1792571	chr17	8225560	8225610	-	51	0	0	0	2	9	2	4	6	1	2	0	4	4	5
ILMN_1760922	chr12	110397651	110397701	+	51	234	0	62	13	9	17	20	18	16	13	6	13	21	22
ILMN_2355776	chr12	110397732	110397782	+	51	136	0	39	5	10	9	16	16	13	14	9	6	18	16
ILMN_1761348	chr19	58119322	58119372	-	51	11	0	1	5	0	3	8	5	6	7	5	1	5	14
ILMN_2234710	chr12	14976367	14976417	-	51	16	0	0	8	11	3	5	18	9	2	5	0	14	14
ILMN_2234709	chr12	14976144	14976194	-	51	13	1	2	6	6	3	4	10	13	3	1	5	5	8
ILMN_3247975	chr11	87171	87221	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_2388965	chr12	58010658	58010708	-	51	67	18	55	9	19	20	12	36	29	8	17	6	7	14
ILMN_1861392	chr21	35269555	35269605	-	51	0	0	0	0	0	0	0	1	0	0	0	0	1	1
ILMN_1665887	chr15	78578399	78578449	+	51	180	21	61	97	90	84	106	128	114	69	47	70	135	118
ILMN_1700679	chr1	112530834	112530884	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_3245659	chr8	8890609	8890659	-	51	14	4	9	12	16	7	20	14	12	16	5	5	8	23
ILMN_2057836	chr1	144944673	144944723	-	51	1	2	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1797975	chrX	70835904	70835954	+	51	41	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_2154053	chr18	60998220	60998270	+	51	149	10	122	57	100	55	53	81	53	59	39	45	84	95
ILMN_2154052	chr18	60998385	60998435	+	51	155	1	172	64	109	91	105	133	99	75	40	70	98	134
ILMN_1888359	chr4	96078956	96079006	-	51	0	1	0	1	0	0	2	0	0	0	0	0	1	0
ILMN_1869651	chr18	45779138	45779188	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_3292013	chr11	9737352	9737402	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ILMN_1665144	chr10	75477772	75477822	+	51	25	0	3	3	4	2	2	3	2	4	0	0	4	3
ILMN_1661657	chr11	3658596	3658646	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_2127007	chr11	3656290	3656340	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_2184109	chr4	25679743	25679793	-	51	0	0	0	3	1	2	6	0	0	2	1	1	3	5
ILMN_1660541	chr1	233201324	233201374	+	51	4	1	2	7	3	2	1	5	1	6	1	3	2	2
ILMN_2085760	chr7	98983361	98983411	-	51	1693	0	212	23	18	64	48	68	36	26	16	24	62	64
ILMN_1852349	chr3	98433707	98433757	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1740545	chr11	118650406	118650456	+	51	203	0	76	47	14	88	74	83	94	67	48	28	119	146
ILMN_1653496	chr1	182351869	182351919	+	51	0	0	1	0	0	2	5	1	5	0	0	1	3	1
ILMN_1765208	chr1	182360332	182360382	+	51	14	1	19	3	0	0	12	5	6	1	6	1	9	9
ILMN_1656913	chr2	63833070	63833120	-	51	1205	304	289	488	452	313	440	715	650	335	295	267	645	549
ILMN_3259153	chrX	146991262	146991312	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1656837	chr3	139237310	139237360	+	51	2	183	9	63	95	85	57	128	142	35	15	42	62	129
ILMN_1888264	chr18	14729864	14729914	-	51	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ILMN_1700923	chr1	63300496	63300546	-	51	72	0	20	23	25	28	24	34	30	15	17	24	34	25
ILMN_2383727	chr1	63294799	63294849	-	51	113	1	18	34	29	35	35	50	39	23	24	13	45	31
ILMN_3239223	chrX	84189529	84189579	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1673605	chr19	685778	685828	+	51	0	0	0	0	0	1	0	1	0	0	0	0	0	1
ILMN_2391765	chr6	31805142	31805192	-	51	1240	193	967	374	639	331	446	509	311	301	275	271	481	649
ILMN_2408968	chr11	18553595	18553645	+	51	39	0	26	10	10	6	6	7	7	3	0	3	5	6
ILMN_1657627	chr16	88941936	88941986	+	51	69	0	0	2	5	3	1	1	1	2	0	0	1	1
ILMN_1792622	chr1	24338563	24338613	+	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_2097997	chr9	21481172	21481222	+	51	0	0	1	1	2	0	0	0	1	0	0	0	2	1
ILMN_1734781	chr9	21481280	21481330	+	51	0	0	1	1	0	0	0	1	0	0	0	0	0	0
ILMN_2143011	chr1	64015652	64015702	-	51	17	1	3	0	1	0	1	0	0	1	0	0	0	2
ILMN_1743784	chr17	18238881	18238931	+	51	43	1	15	12	27	32	19	26	29	20	18	14	37	56
ILMN_1811933	chr17	18231380	18231430	+	51	67	15	11	32	78	59	45	56	32	15	16	24	31	45
ILMN_3274299	chr16	34431675	34431725	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILMN_1732575	chr17	75212701	75212751	-	51	286	13	53	55	56	86	70	77	75	48	32	51	120	56
ILMN_2176755	chr16	67212229	67212279	+	51	44	0	6	4	11	17	11	24	11	9	11	3	8	23
ILMN_3244987	chr16	67209752	67209802	+	51	59	28	9	18	43	23	11	29	24	27	13	15	15	32
